58:46 r105 end — segment times (seconds.milliseconds) and last wave (seconds)
Data: bestSegments from run totalling 70,533 ticks; last wave from LanguageUtils ALIEN_ARCADIUM_WAVE_TIME.

Round	Segment (s.ms)	Last wave (s)
2	22.050	22
3	19.100	19
4	28.100	28
5	30.200	30
6	32.000	32
7	31.250	31
8	35.350	35
9	32.000	32
10	38.150	38
11	38.100	38
12	40.100	40
13	40.650	40
14	36.200	36
15	47.150	46
16	38.550	38
17	32.000	32
18	32.000	32
19	31.300	30
20	36.100	36
21	32.000	32
22	34.100	34
23	30.350	30
24	32.000	32
25	13.550	10
26	37.600	36
27	36.000	34
28	31.800	30
29	40.100	38
30	36.650	34
31	34.000	34
32	32.050	32
33	34.000	34
34	34.000	34
35	14.500	10
36	36.750	34
37	33.050	31
38	34.000	34
39	36.450	34
40	45.550	45
41	35.450	32
42	37.550	34
43	38.600	37
44	37.800	34
45	38.100	35
46	36.100	32
47	39.000	35
48	30.000	30
49	33.350	33
50	32.050	32
51	39.050	37
52	33.350	33
53	37.050	37
54	37.050	37
55	39.550	39
56	40.200	40
57	20.300	18
58	20.200	18
59	38.050	38
60	30.100	30
61	33.350	33
62	30.000	30
63	30.000	30
64	30.000	30
65	30.000	30
66	30.000	30
67	30.000	30
68	30.000	30
69	30.000	30
70	30.000	30
71	30.000	30
72	30.000	30
73	30.000	30
74	30.000	30
75	30.000	30
76	30.000	30
77	30.000	30
78	30.000	30
79	30.000	30
80	32.000	32
81	32.000	32
82	30.000	30
83	30.000	30
84	30.000	30
85	30.000	30
86	30.000	30
87	30.000	30
88	30.000	30
89	30.000	30
90	30.000	30
91	30.000	30
92	30.000	30
93	30.000	30
94	30.000	30
95	30.000	30
96	30.000	30
97	30.000	30
98	30.000	30
99	30.000	30
100	30.000	30
101	5.650	5
102	7.150	5
103	6.850	5
104	6.800	5
105	7.100	5
